2021-05-13 03-49-54 | Initializing librouter...
2021-05-13 03-49-54 | Getting modules...
2021-05-13 03-49-54 | Loading settings...
2021-05-13 03-49-54 | Loading pairs...
2021-05-13 03-49-54 | Loading filter rules...
2021-05-13 03-49-54 | *** LoadFilterRules: No rules loaded
2021-05-13 03-49-54 | Loading IP exclusions...
2021-05-13 03-49-55 | Setting up user interface...
2021-05-13 03-49-55 | Loading port list...
2021-05-13 03-49-55 | Loading IP range list...
2021-05-13 03-49-55 | Initialization done
2021-05-13 03-56-20 | Closing, saving settings...
2021-05-13 03-56-20 | Normal program termination
